filename,title,date_rome,source_html,post_id
2026-01-05-ho-comprato-un-macbook-air-m1-con.md,Ho comprato un MacBook Air M1 con schermo rotto,2026-01-05T14:07:00.126000+01:00,posts/183545109.ho-comprato-un-macbook-air-m1-con.html,183545109.ho-comprato-un-macbook-air-m1-con
2025-12-28-recensione-apple-iphone-17-pro.md,La mia recensione di Apple iPhone 17 Pro: che bella sorpresa,2025-12-28T10:21:20.455000+01:00,posts/182626968.recensione-apple-iphone-17-pro.html,182626968.recensione-apple-iphone-17-pro
2025-12-27-ipados-262-grazie.md,iPadOS 26.2: grazie,2025-12-27T12:25:54.068000+01:00,posts/182691392.ipados-262-grazie.html,182691392.ipados-262-grazie
2025-12-26-ciao-capelli.md,Ciao capelli,2025-12-26T14:06:18.220000+01:00,posts/182626223.ciao-capelli.html,182626223.ciao-capelli
2025-12-10-ho-abbandonato-quasi-tutti-i-podcast.md,Ho abbandonato quasi tutti i podcast di Chora,2025-12-10T08:08:05.734000+01:00,posts/181214911.ho-abbandonato-quasi-tutti-i-podcast.html,181214911.ho-abbandonato-quasi-tutti-i-podcast
2025-11-01-non-ho-venduto-liphone-15-pro-max.md,Non ho venduto l’iPhone 15 Pro Max,2025-11-01T09:33:11.218000+01:00,posts/177715679.non-ho-venduto-liphone-15-pro-max.html,177715679.non-ho-venduto-liphone-15-pro-max
2025-10-27-acquisto-amazfit-helio-strap.md,Ho comprato una band per tracciare i miei dati,2025-10-27T08:28:55.569000+01:00,posts/177245872.acquisto-amazfit-helio-strap.html,177245872.acquisto-amazfit-helio-strap
2025-10-20-ho-stipulato-unassicurazione-sulla.md,Ho stipulato un’assicurazione sulla vita,2025-10-20T20:58:10.774000+02:00,posts/176673390.ho-stipulato-unassicurazione-sulla.html,176673390.ho-stipulato-unassicurazione-sulla
2025-08-24-come-ho-smesso-di-usare-la-mia-american.md,Come ho smesso di usare la mia American Express,2025-08-24T10:00:56.564000+02:00,posts/171782337.come-ho-smesso-di-usare-la-mia-american.html,171782337.come-ho-smesso-di-usare-la-mia-american
2025-08-11-day-one-journal-app-quasi-due-anni.md,Day One journal app: quasi due anni dopo,2025-08-11T17:05:29.526000+02:00,posts/170696104.day-one-journal-app-quasi-due-anni.html,170696104.day-one-journal-app-quasi-due-anni
2025-05-28-whatsapp-per-ipad-finalmente.md,Whatsapp per iPad: finalmente!,2025-05-28T06:39:51.539000+02:00,posts/164619375.whatsapp-per-ipad-finalmente.html,164619375.whatsapp-per-ipad-finalmente
2025-05-07-abbandono-spotify-passo-ad-overcast.md,"Abbandono Spotify, passo ad Overcast e YouTube Music",2025-05-07T08:02:36.628000+02:00,posts/163032220.abbandono-spotify-passo-ad-overcast.html,163032220.abbandono-spotify-passo-ad-overcast
2025-04-21-apple-ha-rotto-il-mio-ipad-air-m1.md,Apple ha rotto il mio iPad Air M1,2025-04-21T13:33:31.798000+02:00,posts/161793233.apple-ha-rotto-il-mio-ipad-air-m1.html,161793233.apple-ha-rotto-il-mio-ipad-air-m1
2025-04-19-077-077.md,077,2025-04-19T10:27:27.232000+02:00,posts/161661597.077.html,161661597.077
2025-04-14-american-express-italia-ecco-gli.md,American Express Italia: ecco gli aumenti dal 14 maggio,2025-04-14T12:31:33.351000+02:00,posts/161220933.american-express-italia-ecco-gli.html,161220933.american-express-italia-ecco-gli
2025-04-13-la-mia-collezione-non-seiko-ad-aprile.md,La mia collezione NON SEIKO ad Aprile 2025,2025-04-13T20:01:23.277000+02:00,posts/161220982.la-mia-collezione-non-seiko-ad-aprile.html,161220982.la-mia-collezione-non-seiko-ad-aprile
2025-04-13-076-076.md,076,2025-04-13T10:20:23.555000+02:00,posts/161220652.076.html,161220652.076
2025-04-10-la-fine-di-unera.md,La fine di un'era,2025-04-10T08:01:22.354000+02:00,posts/160995030.la-fine-di-unera.html,160995030.la-fine-di-unera
2025-04-06-dazi-trump-usa-2025-tariffe.md,Dazi USA 2025: le nuove tariffe di Trump e le reazioni Internazionali,2025-04-06T08:39:39.587000+02:00,posts/160629884.dazi-trump-usa-2025-tariffe.html,160629884.dazi-trump-usa-2025-tariffe
2025-04-05-075-075.md,075,2025-04-05T08:30:48.248000+02:00,posts/160629765.075.html,160629765.075
2025-04-04-la-mia-collezione-seiko-a-marzo-2025.md,La mia collezione SEIKO a Marzo 2025,2025-04-04T10:00:43.819000+02:00,posts/160401010.la-mia-collezione-seiko-a-marzo-2025.html,160401010.la-mia-collezione-seiko-a-marzo-2025
2025-04-02-apple-intelligence-ad-oggi-e-un-flop.md,Apple Intelligence ad oggi è un flop?,2025-04-02T09:25:19.680000+02:00,posts/160400948.apple-intelligence-ad-oggi-e-un-flop.html,160400948.apple-intelligence-ad-oggi-e-un-flop
2025-03-31-074-074.md,074,2025-03-31T07:53:56.494000+02:00,posts/160237103.074.html,160237103.074
2025-03-22-073-073.md,073,2025-03-22T08:01:32.498000+01:00,posts/159462166.073.html,159462166.073
2025-03-21-cosa-fare-con-i-mercati-in-rosso.md,Cosa fare con i mercati in rosso,2025-03-21T09:19:39.021000+01:00,posts/159536240.cosa-fare-con-i-mercati-in-rosso.html,159536240.cosa-fare-con-i-mercati-in-rosso
2025-02-06-recensione-hera-veliero-nero.md,Recensione: Hera Veliero nero,2025-02-06T08:36:00.847000+01:00,posts/156585865.recensione-hera-veliero-nero.html,156585865.recensione-hera-veliero-nero
2025-02-02-072-072.md,072,2025-02-02T22:10:17.285000+01:00,posts/156326713.072.html,156326713.072
2025-01-26-071-071.md,071,2025-01-26T23:37:53.116000+01:00,posts/155795340.071.html,155795340.071
2025-01-21-bbva-remunerazione-2025.md,BBVA: come cambia la remunerazione del conto corrente,2025-01-21T08:55:46.089000+01:00,posts/155318036.bbva-remunerazione-2025.html,155318036.bbva-remunerazione-2025
2025-01-19-070-070.md,070,2025-01-19T08:15:47.487000+01:00,posts/155094911.070.html,155094911.070
2025-01-11-069-069.md,069,2025-01-11T07:57:52.584000+01:00,posts/154584405.069.html,154584405.069
2025-01-06-068-068.md,068,2025-01-06T15:37:51.785000+01:00,posts/154269025.068.html,154269025.068
2025-01-02-sotc-early-2025.md,SOTC early 2025,2025-01-02T14:50:04.896000+01:00,posts/153977539.sotc-early-2025.html,153977539.sotc-early-2025
2024-12-29-067-067.md,067,2024-12-29T15:06:41.307000+01:00,posts/153757130.067.html,153757130.067
2024-12-15-066-066.md,066,2024-12-15T08:30:54.864000+01:00,posts/153149299.066.html,153149299.066
2024-12-08-065-065.md,065,2024-12-08T08:15:37.792000+01:00,posts/152755071.065.html,152755071.065
2024-12-06-effetto-gennaio-di-cosa-si-tratta.md,“Effetto gennaio”: di cosa si tratta?,2024-12-06T10:31:09.658000+01:00,posts/152649417.effetto-gennaio-di-cosa-si-tratta.html,152649417.effetto-gennaio-di-cosa-si-tratta
2024-12-02-apple-watch-ultra-2-ne-vale-la-pena.md,Apple Watch Ultra 2: ne vale la pena?,2024-12-02T10:31:04.616000+01:00,posts/151595308.apple-watch-ultra-2-ne-vale-la-pena.html,151595308.apple-watch-ultra-2-ne-vale-la-pena
